City,Datetime,Temperature (°C)
제주,2024-06-09 00:00:00,20.29
제주,2024-06-09 03:00:00,21.84
제주,2024-06-09 06:00:00,22.74
제주,2024-06-09 09:00:00,22.35
제주,2024-06-09 12:00:00,21.2
제주,2024-06-09 15:00:00,21.12
제주,2024-06-09 18:00:00,21.3
제주,2024-06-09 21:00:00,21.45
창원,2024-06-09 00:00:00,21.19
창원,2024-06-09 03:00:00,25.29
창원,2024-06-09 06:00:00,25.91
창원,2024-06-09 09:00:00,25.52
창원,2024-06-09 12:00:00,20.15
창원,2024-06-09 15:00:00,20.07
창원,2024-06-09 18:00:00,18.78
창원,2024-06-09 21:00:00,19.03
세종,2024-06-09 00:00:00,23.23
세종,2024-06-09 03:00:00,27.7
세종,2024-06-09 06:00:00,29.65
세종,2024-06-09 09:00:00,27.07
세종,2024-06-09 12:00:00,19.67
세종,2024-06-09 15:00:00,17.9
세종,2024-06-09 18:00:00,17.33
세종,2024-06-09 21:00:00,17.59
군포,2024-06-09 00:00:00,8.53
군포,2024-06-09 03:00:00,8.52
군포,2024-06-09 06:00:00,8.41
군포,2024-06-09 09:00:00,6.54
군포,2024-06-09 12:00:00,7.73
군포,2024-06-09 15:00:00,11.28
군포,2024-06-09 18:00:00,11.67
군포,2024-06-09 21:00:00,9.63
강릉,2024-06-09 00:00:00,23.36
강릉,2024-06-09 03:00:00,24.87
강릉,2024-06-09 06:00:00,25.89
강릉,2024-06-09 09:00:00,25.32
강릉,2024-06-09 12:00:00,21.36
강릉,2024-06-09 15:00:00,20.5
강릉,2024-06-09 18:00:00,19.97
강릉,2024-06-09 21:00:00,20.07
순천,2024-06-09 00:00:00,22.68
순천,2024-06-09 03:00:00,25.37
순천,2024-06-09 06:00:00,27.28
순천,2024-06-09 09:00:00,26.87
순천,2024-06-09 12:00:00,21.06
순천,2024-06-09 15:00:00,19.34
순천,2024-06-09 18:00:00,18.74
순천,2024-06-09 21:00:00,18.5
서산,2024-06-09 00:00:00,22.23
서산,2024-06-09 03:00:00,24.57
서산,2024-06-09 06:00:00,24.95
서산,2024-06-09 09:00:00,22.32
서산,2024-06-09 12:00:00,18.71
서산,2024-06-09 15:00:00,18.35
서산,2024-06-09 18:00:00,17.98
서산,2024-06-09 21:00:00,18.24
속초,2024-06-09 00:00:00,22.7
속초,2024-06-09 03:00:00,26.65
속초,2024-06-09 06:00:00,26.8
속초,2024-06-09 09:00:00,24.33
속초,2024-06-09 12:00:00,20.52
속초,2024-06-09 15:00:00,20.13
속초,2024-06-09 18:00:00,19.48
속초,2024-06-09 21:00:00,19.34
의왕,2024-06-09 00:00:00,19.87
의왕,2024-06-09 03:00:00,15.06
의왕,2024-06-09 06:00:00,9.93
의왕,2024-06-09 09:00:00,7.97
의왕,2024-06-09 12:00:00,6.71
의왕,2024-06-09 15:00:00,10.55
의왕,2024-06-09 18:00:00,15.09
의왕,2024-06-09 21:00:00,18.95
삼척,2024-06-09 00:00:00,22.05
삼척,2024-06-09 03:00:00,22.62
삼척,2024-06-09 06:00:00,22.7
삼척,2024-06-09 09:00:00,22.75
삼척,2024-06-09 12:00:00,20.38
삼척,2024-06-09 15:00:00,19.81
삼척,2024-06-09 18:00:00,19.42
삼척,2024-06-09 21:00:00,19.12
보령,2024-06-09 00:00:00,21.6
보령,2024-06-09 03:00:00,22.46
보령,2024-06-09 06:00:00,22.89
보령,2024-06-09 09:00:00,21.66
보령,2024-06-09 12:00:00,19.1
보령,2024-06-09 15:00:00,18.63
보령,2024-06-09 18:00:00,18.41
보령,2024-06-09 21:00:00,18.76
과천,2024-06-09 00:00:00,21.65
과천,2024-06-09 03:00:00,25.92
과천,2024-06-09 06:00:00,27.76
과천,2024-06-09 09:00:00,24.12
과천,2024-06-09 12:00:00,21.24
과천,2024-06-09 15:00:00,20.02
과천,2024-06-09 18:00:00,18.92
과천,2024-06-09 21:00:00,18.66
사천,2024-06-09 00:00:00,4.44
사천,2024-06-09 03:00:00,5.01
사천,2024-06-09 06:00:00,5.41
사천,2024-06-09 09:00:00,5.43
사천,2024-06-09 12:00:00,4.83
사천,2024-06-09 15:00:00,4.37
사천,2024-06-09 18:00:00,4.24
사천,2024-06-09 21:00:00,3.95
밀양,2024-06-09 00:00:00,21.7
밀양,2024-06-09 03:00:00,26.12
밀양,2024-06-09 06:00:00,26.36
밀양,2024-06-09 09:00:00,26.52
밀양,2024-06-09 12:00:00,19.66
밀양,2024-06-09 15:00:00,18.26
밀양,2024-06-09 18:00:00,17.85
밀양,2024-06-09 21:00:00,18.39
양양,2024-06-09 00:00:00,22.04
양양,2024-06-09 03:00:00,25.97
양양,2024-06-09 06:00:00,26.27
양양,2024-06-09 09:00:00,23.58
양양,2024-06-09 12:00:00,20.63
양양,2024-06-09 15:00:00,19.79
양양,2024-06-09 18:00:00,19.26
양양,2024-06-09 21:00:00,19
담양,2024-06-09 00:00:00,22.07
담양,2024-06-09 03:00:00,25.45
담양,2024-06-09 06:00:00,28.52
담양,2024-06-09 09:00:00,25.53
담양,2024-06-09 12:00:00,18.85
담양,2024-06-09 15:00:00,17.59
담양,2024-06-09 18:00:00,17.03
담양,2024-06-09 21:00:00,17.45
나주,2024-06-09 00:00:00,22.2
나주,2024-06-09 03:00:00,26.07
나주,2024-06-09 06:00:00,26.98
나주,2024-06-09 09:00:00,24
나주,2024-06-09 12:00:00,18.25
나주,2024-06-09 15:00:00,17.16
나주,2024-06-09 18:00:00,16.56
나주,2024-06-09 21:00:00,16.97
영광,2024-06-09 00:00:00,29.01
영광,2024-06-09 03:00:00,24.67
영광,2024-06-09 06:00:00,24.07
영광,2024-06-09 09:00:00,22.17
영광,2024-06-09 12:00:00,21.01
영광,2024-06-09 15:00:00,26.6
영광,2024-06-09 18:00:00,30.17
영광,2024-06-09 21:00:00,31.7
고창,2024-06-09 00:00:00,27.65
고창,2024-06-09 03:00:00,27.42
고창,2024-06-09 06:00:00,27.07
고창,2024-06-09 09:00:00,26.56
고창,2024-06-09 12:00:00,27.96
고창,2024-06-09 15:00:00,29.45
고창,2024-06-09 18:00:00,30.47
고창,2024-06-09 21:00:00,30.02
무안,2024-06-09 00:00:00,22.12
무안,2024-06-09 03:00:00,23.42
무안,2024-06-09 06:00:00,23.79
무안,2024-06-09 09:00:00,22.65
무안,2024-06-09 12:00:00,20.03
무안,2024-06-09 15:00:00,19.19
무안,2024-06-09 18:00:00,19.06
무안,2024-06-09 21:00:00,19.19
완도,2024-06-09 00:00:00,24.42
완도,2024-06-09 03:00:00,24.19
완도,2024-06-09 06:00:00,23.69
완도,2024-06-09 09:00:00,26.2
완도,2024-06-09 12:00:00,32.82
완도,2024-06-09 15:00:00,32.93
완도,2024-06-09 18:00:00,29.15
완도,2024-06-09 21:00:00,25.61
해남,2024-06-09 00:00:00,21.58
해남,2024-06-09 03:00:00,24.57
해남,2024-06-09 06:00:00,24.43
해남,2024-06-09 09:00:00,22.5
해남,2024-06-09 12:00:00,19.58
해남,2024-06-09 15:00:00,19.15
해남,2024-06-09 18:00:00,18.94
해남,2024-06-09 21:00:00,19.05
보성,2024-06-09 00:00:00,22.23
보성,2024-06-09 03:00:00,25.87
보성,2024-06-09 06:00:00,27.89
보성,2024-06-09 09:00:00,25.51
보성,2024-06-09 12:00:00,18.38
보성,2024-06-09 15:00:00,17.15
보성,2024-06-09 18:00:00,17.12
보성,2024-06-09 21:00:00,17.2
화순,2024-06-09 00:00:00,21.56
화순,2024-06-09 03:00:00,25.31
화순,2024-06-09 06:00:00,27.35
화순,2024-06-09 09:00:00,24.75
화순,2024-06-09 12:00:00,17.88
화순,2024-06-09 15:00:00,16.69
화순,2024-06-09 18:00:00,16.32
화순,2024-06-09 21:00:00,16.79
광양,2024-06-09 00:00:00,22.25
광양,2024-06-09 03:00:00,25.16
광양,2024-06-09 06:00:00,26.03
광양,2024-06-09 09:00:00,25.7
광양,2024-06-09 12:00:00,20.56
광양,2024-06-09 15:00:00,19.08
광양,2024-06-09 18:00:00,18.26
광양,2024-06-09 21:00:00,18.34
함평,2024-06-09 00:00:00,22.69
함평,2024-06-09 03:00:00,24.26
함평,2024-06-09 06:00:00,25.06
함평,2024-06-09 09:00:00,23.25
함평,2024-06-09 12:00:00,19.41
함평,2024-06-09 15:00:00,18.52
함평,2024-06-09 18:00:00,18.3
함평,2024-06-09 21:00:00,18.62
봉화,2024-06-09 00:00:00,19
봉화,2024-06-09 03:00:00,14.96
봉화,2024-06-09 06:00:00,13.35
봉화,2024-06-09 09:00:00,15.49
봉화,2024-06-09 12:00:00,14.99
봉화,2024-06-09 15:00:00,14.93
봉화,2024-06-09 18:00:00,23.98
봉화,2024-06-09 21:00:00,24.42
문경,2024-06-09 00:00:00,23
문경,2024-06-09 03:00:00,28.06
문경,2024-06-09 06:00:00,29.34
문경,2024-06-09 09:00:00,26.4
문경,2024-06-09 12:00:00,19.94
문경,2024-06-09 15:00:00,17.61
문경,2024-06-09 18:00:00,16.64
문경,2024-06-09 21:00:00,17.1
청송,2024-06-09 00:00:00,18.32
청송,2024-06-09 03:00:00,24.99
청송,2024-06-09 06:00:00,26.73
청송,2024-06-09 09:00:00,24.86
청송,2024-06-09 12:00:00,16.9
청송,2024-06-09 15:00:00,15.74
청송,2024-06-09 18:00:00,14.78
청송,2024-06-09 21:00:00,14.95
안동,2024-06-09 00:00:00,21.85
안동,2024-06-09 03:00:00,27.11
안동,2024-06-09 06:00:00,29.5
안동,2024-06-09 09:00:00,27.34
안동,2024-06-09 12:00:00,19.65
안동,2024-06-09 15:00:00,17.15
안동,2024-06-09 18:00:00,15.91
안동,2024-06-09 21:00:00,16.2
예천,2024-06-09 00:00:00,21.76
예천,2024-06-09 03:00:00,26.84
예천,2024-06-09 06:00:00,28.96
예천,2024-06-09 09:00:00,25.74
예천,2024-06-09 12:00:00,19.52
예천,2024-06-09 15:00:00,16.88
예천,2024-06-09 18:00:00,15.72
예천,2024-06-09 21:00:00,15.89
경주,2024-06-09 00:00:00,22.52
경주,2024-06-09 03:00:00,25.56
경주,2024-06-09 06:00:00,26.69
경주,2024-06-09 09:00:00,25.6
경주,2024-06-09 12:00:00,18.72
경주,2024-06-09 15:00:00,17.95
경주,2024-06-09 18:00:00,17.44
경주,2024-06-09 21:00:00,18.03
성주,2024-06-09 00:00:00,15.38
성주,2024-06-09 03:00:00,14.48
성주,2024-06-09 06:00:00,17.19
성주,2024-06-09 09:00:00,19.76
성주,2024-06-09 12:00:00,21.25
성주,2024-06-09 15:00:00,20.97
성주,2024-06-09 18:00:00,16.92
성주,2024-06-09 21:00:00,15.16
칠곡,2024-06-09 00:00:00,21.54
칠곡,2024-06-09 03:00:00,25.95
칠곡,2024-06-09 06:00:00,30.05
칠곡,2024-06-09 09:00:00,28.58
칠곡,2024-06-09 12:00:00,21.77
칠곡,2024-06-09 15:00:00,19.69
칠곡,2024-06-09 18:00:00,18.15
칠곡,2024-06-09 21:00:00,18.4
김천,2024-06-09 00:00:00,21.41
김천,2024-06-09 03:00:00,27.75
김천,2024-06-09 06:00:00,30.63
김천,2024-06-09 09:00:00,27.1
김천,2024-06-09 12:00:00,20.28
김천,2024-06-09 15:00:00,18.51
김천,2024-06-09 18:00:00,17.82
김천,2024-06-09 21:00:00,18.28
하동,2024-06-09 00:00:00,22.82
하동,2024-06-09 03:00:00,26.57
하동,2024-06-09 06:00:00,26.49
하동,2024-06-09 09:00:00,26.35
하동,2024-06-09 12:00:00,20.4
하동,2024-06-09 15:00:00,19.14
하동,2024-06-09 18:00:00,18.61
하동,2024-06-09 21:00:00,18.9
합천,2024-06-09 00:00:00,21.9
합천,2024-06-09 03:00:00,26.22
합천,2024-06-09 06:00:00,29.1
합천,2024-06-09 09:00:00,27.19
합천,2024-06-09 12:00:00,20.3
합천,2024-06-09 15:00:00,18.47
합천,2024-06-09 18:00:00,17.53
합천,2024-06-09 21:00:00,18.06
창녕,2024-06-09 00:00:00,21.93
창녕,2024-06-09 03:00:00,25.19
창녕,2024-06-09 06:00:00,26.4
창녕,2024-06-09 09:00:00,26.6
창녕,2024-06-09 12:00:00,19.82
창녕,2024-06-09 15:00:00,17.83
창녕,2024-06-09 18:00:00,17.38
창녕,2024-06-09 21:00:00,18.03
함안,2024-06-09 00:00:00,21.4
함안,2024-06-09 03:00:00,25.28
함안,2024-06-09 06:00:00,26.7
함안,2024-06-09 09:00:00,25.78
함안,2024-06-09 12:00:00,19.34
함안,2024-06-09 15:00:00,18.96
함안,2024-06-09 18:00:00,18.13
함안,2024-06-09 21:00:00,18.57
